year,months,frequency,month,timing
2004,November,5,11,2004-11-01
2005,January,13,1,2005-01-01
2005,February,24,2,2005-02-01
2005,March,6,3,2005-03-01
2005,April,1,4,2005-04-01
2005,May,3,5,2005-05-01
2005,June,21,6,2005-06-01
2005,July,11,7,2005-07-01
2005,August,32,8,2005-08-01
2005,September,14,9,2005-09-01
2005,October,20,10,2005-10-01
2005,November,13,11,2005-11-01
2005,December,2,12,2005-12-01
2006,January,10,1,2006-01-01
2006,February,56,2,2006-02-01
2006,March,6,3,2006-03-01
2006,April,4,4,2006-04-01
2006,May,12,5,2006-05-01
2006,June,16,6,2006-06-01
2006,July,9,7,2006-07-01
2006,August,13,8,2006-08-01
2006,September,5,9,2006-09-01
2006,October,10,10,2006-10-01
2006,November,16,11,2006-11-01
2007,January,23,1,2007-01-01
2007,February,23,2,2007-02-01
2007,March,48,3,2007-03-01
2007,April,4,4,2007-04-01
2007,May,9,5,2007-05-01
2007,June,7,6,2007-06-01
2007,July,2,7,2007-07-01
2007,August,7,8,2007-08-01
2007,September,3,9,2007-09-01
2007,November,6,11,2007-11-01
2007,December,1,12,2007-12-01
2008,January,21,1,2008-01-01
2008,February,7,2,2008-02-01
2008,March,19,3,2008-03-01
2008,April,3,4,2008-04-01
2008,May,1,5,2008-05-01
2008,June,6,6,2008-06-01
2008,July,5,7,2008-07-01
2008,August,8,8,2008-08-01
2008,September,10,9,2008-09-01
2008,October,10,10,2008-10-01
2008,November,5,11,2008-11-01
2009,January,6,1,2009-01-01
2009,February,17,2,2009-02-01
2009,March,6,3,2009-03-01
2009,April,6,4,2009-04-01
2009,June,6,6,2009-06-01
2009,July,1,7,2009-07-01
2009,August,16,8,2009-08-01
2009,September,5,9,2009-09-01
2009,October,2,10,2009-10-01
2009,November,8,11,2009-11-01
2010,January,1,1,2010-01-01
2010,February,2,2,2010-02-01
2010,March,6,3,2010-03-01
2010,April,10,4,2010-04-01
2010,July,2,7,2010-07-01
2010,August,5,8,2010-08-01
2010,September,16,9,2010-09-01
2010,October,5,10,2010-10-01
2011,January,12,1,2011-01-01
2011,February,2,2,2011-02-01
2011,March,12,3,2011-03-01
2011,April,5,4,2011-04-01
2011,May,6,5,2011-05-01
2011,June,15,6,2011-06-01
2011,August,1,8,2011-08-01
2011,September,4,9,2011-09-01
2011,November,4,11,2011-11-01
2012,January,19,1,2012-01-01
2012,March,9,3,2012-03-01
2012,June,1,6,2012-06-01
2012,July,8,7,2012-07-01
2012,August,2,8,2012-08-01
2012,September,10,9,2012-09-01
2012,October,6,10,2012-10-01
2012,November,9,11,2012-11-01
2013,January,2,1,2013-01-01
2013,February,21,2,2013-02-01
2013,March,7,3,2013-03-01
2013,April,3,4,2013-04-01
2013,July,1,7,2013-07-01
2013,August,15,8,2013-08-01
2013,September,5,9,2013-09-01
2014,February,10,2,2014-02-01
2014,March,5,3,2014-03-01
2014,April,1,4,2014-04-01
2014,July,11,7,2014-07-01
2014,August,4,8,2014-08-01
2014,September,5,9,2014-09-01
2014,October,1,10,2014-10-01
2014,November,16,11,2014-11-01
2014,December,3,12,2014-12-01
2015,January,3,1,2015-01-01
2015,February,6,2,2015-02-01
2015,March,4,3,2015-03-01
2015,April,16,4,2015-04-01
2015,May,4,5,2015-05-01
2015,June,7,6,2015-06-01
2015,September,5,9,2015-09-01
2015,December,3,12,2015-12-01
2016,January,3,1,2016-01-01
2016,March,7,3,2016-03-01
2016,April,1,4,2016-04-01
2016,August,6,8,2016-08-01
2016,September,2,9,2016-09-01
2016,October,1,10,2016-10-01
2016,December,2,12,2016-12-01
2017,March,4,3,2017-03-01
2017,April,2,4,2017-04-01
2017,May,3,5,2017-05-01
2017,September,8,9,2017-09-01
2017,November,11,11,2017-11-01
2018,January,1,1,2018-01-01
2018,February,3,2,2018-02-01
2018,March,5,3,2018-03-01
2018,July,1,7,2018-07-01
2018,September,1,9,2018-09-01
2019,February,5,2,2019-02-01
2019,March,1,3,2019-03-01
2019,April,2,4,2019-04-01
2019,August,3,8,2019-08-01
2019,September,32,9,2019-09-01
2020,February,1,2,2020-02-01
2020,March,3,3,2020-03-01
2020,June,4,6,2020-06-01