year,month,frequency,month,timing
2004,December,1,12,2004-12-01
2005,January,1,1,2005-01-01
2005,February,5,2,2005-02-01
2005,March,28,3,2005-03-01
2005,May,3,5,2005-05-01
2005,June,43,6,2005-06-01
2005,July,10,7,2005-07-01
2005,August,23,8,2005-08-01
2005,September,33,9,2005-09-01
2005,October,14,10,2005-10-01
2005,November,12,11,2005-11-01
2005,December,53,12,2005-12-01
2006,January,25,1,2006-01-01
2006,February,35,2,2006-02-01
2006,March,84,3,2006-03-01
2006,April,7,4,2006-04-01
2006,May,4,5,2006-05-01
2006,July,2,7,2006-07-01
2006,August,29,8,2006-08-01
2006,September,13,9,2006-09-01
2006,November,4,11,2006-11-01
2007,January,6,1,2007-01-01
2007,February,6,2,2007-02-01
2007,March,7,3,2007-03-01
2007,April,6,4,2007-04-01
2007,May,4,5,2007-05-01
2007,June,8,6,2007-06-01
2007,July,2,7,2007-07-01
2007,August,2,8,2007-08-01
2007,September,24,9,2007-09-01
2007,November,6,11,2007-11-01
2007,December,1,12,2007-12-01
2008,January,8,1,2008-01-01
2008,February,8,2,2008-02-01
2008,March,6,3,2008-03-01
2008,May,4,5,2008-05-01
2008,June,12,6,2008-06-01
2008,July,6,7,2008-07-01
2008,August,8,8,2008-08-01
2008,September,7,9,2008-09-01
2008,October,4,10,2008-10-01
2008,November,3,11,2008-11-01
2008,December,8,12,2008-12-01
2009,January,3,1,2009-01-01
2009,February,12,2,2009-02-01
2009,March,47,3,2009-03-01
2009,April,6,4,2009-04-01
2009,May,1,5,2009-05-01
2009,June,3,6,2009-06-01
2009,July,1,7,2009-07-01
2009,August,10,8,2009-08-01
2009,September,6,9,2009-09-01
2009,October,1,10,2009-10-01
2009,November,7,11,2009-11-01
2009,December,5,12,2009-12-01
2010,January,1,1,2010-01-01
2010,February,5,2,2010-02-01
2010,March,25,3,2010-03-01
2010,April,2,4,2010-04-01
2010,August,6,8,2010-08-01
2010,September,10,9,2010-09-01
2010,October,2,10,2010-10-01
2010,November,1,11,2010-11-01
2010,December,1,12,2010-12-01
2011,January,8,1,2011-01-01
2011,February,1,2,2011-02-01
2011,March,112,3,2011-03-01
2011,April,20,4,2011-04-01
2011,May,36,5,2011-05-01
2011,June,5,6,2011-06-01
2011,July,2,7,2011-07-01
2011,August,3,8,2011-08-01
2011,September,15,9,2011-09-01
2011,October,1,10,2011-10-01
2011,November,1,11,2011-11-01
2012,January,1,1,2012-01-01
2012,February,3,2,2012-02-01
2012,March,18,3,2012-03-01
2012,May,7,5,2012-05-01
2012,June,15,6,2012-06-01
2012,July,5,7,2012-07-01
2012,August,8,8,2012-08-01
2012,September,28,9,2012-09-01
2012,October,4,10,2012-10-01
2012,November,6,11,2012-11-01
2012,December,1,12,2012-12-01
2013,February,110,2,2013-02-01
2013,March,69,3,2013-03-01
2013,May,1,5,2013-05-01
2013,June,3,6,2013-06-01
2013,July,14,7,2013-07-01
2013,August,30,8,2013-08-01
2013,September,43,9,2013-09-01
2013,October,2,10,2013-10-01
2013,November,3,11,2013-11-01
2014,January,12,1,2014-01-01
2014,February,11,2,2014-02-01
2014,March,16,3,2014-03-01
2014,May,2,5,2014-05-01
2014,June,1,6,2014-06-01
2014,July,2,7,2014-07-01
2014,August,3,8,2014-08-01
2014,September,5,9,2014-09-01
2014,October,1,10,2014-10-01
2014,November,1,11,2014-11-01
2014,December,1,12,2014-12-01
2015,January,4,1,2015-01-01
2015,February,11,2,2015-02-01
2015,March,6,3,2015-03-01
2015,May,4,5,2015-05-01
2015,June,1,6,2015-06-01
2015,August,4,8,2015-08-01
2015,September,11,9,2015-09-01
2015,October,1,10,2015-10-01
2015,November,22,11,2015-11-01
2015,December,2,12,2015-12-01
2016,January,3,1,2016-01-01
2016,February,1,2,2016-02-01
2016,March,4,3,2016-03-01
2016,May,1,5,2016-05-01
2016,September,9,9,2016-09-01
2016,October,1,10,2016-10-01
2017,January,1,1,2017-01-01
2017,March,6,3,2017-03-01
2017,May,7,5,2017-05-01
2017,August,2,8,2017-08-01
2017,September,2,9,2017-09-01
2017,October,4,10,2017-10-01
2017,November,11,11,2017-11-01
2018,February,4,2,2018-02-01
2018,March,7,3,2018-03-01
2018,May,1,5,2018-05-01
2018,June,2,6,2018-06-01
2018,July,1,7,2018-07-01
2018,August,1,8,2018-08-01
2018,September,3,9,2018-09-01
2019,March,4,3,2019-03-01
2019,April,3,4,2019-04-01
2019,June,2,6,2019-06-01
2019,July,1,7,2019-07-01
2019,August,2,8,2019-08-01
2019,September,3,9,2019-09-01
2019,October,1,10,2019-10-01
2020,January,12,1,2020-01-01
2020,February,1,2,2020-02-01
2020,March,3,3,2020-03-01
2020,April,1,4,2020-04-01