Releases,CoreProjects,Modules,Dates,Duration
Austin ,2,14,2010-10-21,Austin --2010-10-21
Bexar,3,16,2011-02-03,Bexar--2011-02-03
Cactus,3,16,2011-04-15,Cactus--2011-04-15
Diablo,3,27,2011-09-22,Diablo--2011-09-22
Essex,5,29,2012-04-05,Essex--2012-04-05
Folsom,7,34,2012-09-27,Folsom--2012-09-27
Grizzly,7,37,2013-04-04,Grizzly--2013-04-04
Havana,9,38,2013-10-17,Havana--2013-10-17
Icehouse,10,40,2014-04-17,Icehouse--2014-04-17
Juno,11,62,2014-10-16,Juno--2014-10-16
Kilo,13,75,2015-04-30,Kilo--2015-04-30
Liberty,21,112, 2015-10-15,Liberty-- 2015-10-15
Mitaka,38,554, 2016-04-07,Mitaka-- 2016-04-07
Newton,49,559, 2016-10-06,Newton-- 2016-10-06
Ocata,54,586,2017-02-22,Ocata--2017-02-22
Pike,57,623,2017-08-30,Pike--2017-08-30
Queens,60,688,2018-02-28,Queens--2018-02-28
Rocky,61,692,2018-08-30,Rocky--2018-08-30
Stein,63,694,2019-04-10,Stein--2019-04-10
Train,63,715,2019-10-16,Train--2019-10-16
Ussuri,60,710,2020-05-13,Ussuri--2020-05-13
Victoria,57,695,[Current],Victoria--[Current]